imdb_id,title,url,release_year,duration,certificate,rating,genres,cast,poster
tt29468874,Beast of War,https://www.imdb.com/title/tt29468874,2025,1h 27m,R,5.4(725),"['Monster Horror', 'Action', 'Biography', 'Drama', 'Horror', 'War']","['Kiah Roache-Turner', 'Mark Coles Smith', 'Joel Nankervis', 'Sam Delich', 'Lee Tiger Halley', 'Sam Parsonson', 'Maximillian Johnson', 'Tristan McKinnon', 'Steve Le Marquand', 'Masa Yamaguchi']",posters_show\Beast_of_War.jpg
tt0111161,The Shawshank Redemption,https://www.imdb.com/title/tt0111161,1994,2h 22m,R,9.3(3.1M),"['Epic', 'Period Drama', 'Prison Drama', 'Drama']","['Frank Darabont', 'Stephen King', 'Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler', 'Clancy Brown', 'Gil Bellows', 'Mark Rolston', 'James Whitmore']",posters_show\The_Shawshank_Redemption.jpg
tt1527793,No Other Choice,https://www.imdb.com/title/tt1527793,2025,2h 19m,,8.0(1.5K),"['Korean', 'Caper', 'Dark Comedy', 'Satire', 'Comedy', 'Crime', 'Drama', 'Thriller']","['Park Chan-wook', 'Lee Kyoung-mi', 'Jahye Lee', 'Don McKellar', 'Donald E. Westlake', 'Lee Byung-hun', 'Son Ye-jin', 'Park Hee-soon', 'Lee Sung-min', 'Yeom Hye-ran']",posters_show\No_Other_Choice.jpg
tt37676033,V/H/S/Halloween,https://www.imdb.com/title/tt37676033,2025,1h 55m,Not Rated,5.8(4.7K),"['Found Footage Horror', 'Splatter Horror', 'Horror']","['Bryan M. Ferguson', 'Casper Kelly', 'R.H. Norman', 'Alex Ross Perry', 'Micheline Pitt', 'Paco Plaza', 'Anna Zlokovic', 'Alberto Marini', 'David Haydn', 'Anna McKelvie']",posters_show\V_H_S_Halloween.jpg
tt0112642,Casper,https://www.imdb.com/title/tt0112642,1995,1h 40m,PG,6.2(156K),"['Slapstick', 'Supernatural Fantasy', 'Teen Fantasy', 'Comedy', 'Family', 'Fantasy']","['Brad Silberling', 'Joseph Oriolo', 'Sherri Stoner', 'Deanna Oliver', 'Chauncey Leopardi', 'Spencer Vrooman', 'Malachi Pearson', 'Cathy Moriarty', 'Eric Idle', 'Ben Stein']",posters_show\Casper.jpg
tt0117571,Scream,https://www.imdb.com/title/tt0117571,1996,1h 51m,R,7.4(428K),"['Dark Comedy', 'Slasher Horror', 'Suspense Mystery', 'Teen Horror', 'Whodunnit', 'Horror', 'Mystery']","['Wes Craven', 'Kevin Williamson', 'Drew Barrymore', 'Roger Jackson', 'Kevin Patrick Walls', 'David Booth', 'Carla Hatley', 'Neve Campbell', 'Skeet Ulrich', 'Lawrence Hecht']",posters_show\Scream.jpg
tt28996126,Nobody 2,https://www.imdb.com/title/tt28996126,2025,1h 29m,R,6.3(46K),"['Dark Comedy', 'One-Person Army Action', 'Action', 'Comedy', 'Crime', 'Thriller']","['Timo Tjahjanto', 'Derek Kolstad', 'Aaron Rabin', 'Bob Odenkirk', 'Connie Nielsen', 'Christopher Lloyd', 'John Ortiz', 'RZA', 'Sharon Stone', 'Colin Hanks']",posters_show\Nobody_2.jpg
tt30425872,London Calling,https://www.imdb.com/title/tt30425872,2025,1h 54m,R,5.5(719),"['Action', 'Comedy', 'Drama']","['Allan Ungar', 'Omer Levin Menekse', 'Quinn Wolfe', 'Josh Duhamel', 'Jeremy Ray Taylor', 'Rick Hoffman', 'Aidan Gillen', 'Neil Sandilands', 'Arnold Vosloo', 'Brandon Auret']",posters_show\London_Calling.jpg
tt0092605,Baby Boom,https://www.imdb.com/title/tt0092605,1987,1h 50m,PG,6.3(21K),"['Workplace Drama', 'Comedy', 'Drama', 'Romance']","['Charles Shyer', 'Nancy Meyers', 'Diane Keaton', 'Sam Shepard', 'Harold Ramis', 'Kristina Kennedy', 'Michelle Kennedy', 'Sam Wanamaker', 'James Spader', 'Pat Hingle']",posters_show\Baby_Boom.jpg
tt31956415,Freakier Friday,https://www.imdb.com/title/tt31956415,2025,1h 50m,PG,6.6(20K),"['Body Swap Comedy', 'Comedy', 'Family', 'Fantasy']","['Nisha Ganatra', 'Jordan Weiss', 'Elyse Hollander', 'Mary Rodgers', 'Jamie Lee Curtis', 'Lindsay Lohan', 'Julia Butters', 'Sophia Hammons', 'Mark Harmon', 'Manny Jacinto']",posters_show\Freakier_Friday.jpg
